"","Lon1","Lat1","Centroid_ID","rn","nearest_in_grid2","nearest_in_grid3","nearest_in_grid4"
"456",-79.03125,39.9375,456,456,133,9,5
"457",-79.03125,39.97916667,457,457,133,9,5
"458",-79.21875,39.97916667,458,458,132,9,5
"459",-79.21875,39.9375,459,459,132,9,5
"460",-79.15625,39.9375,460,460,132,9,5
"461",-79.34375,39.89583333,461,461,125,9,5
"462",-79.28125,39.89583333,462,462,125,9,5
"463",-79.46875,39.9375,463,463,130,9,5
"464",-79.28125,39.97916667,464,464,131,9,5
"465",-79.28125,39.9375,465,465,131,9,5
"466",-79.71875,39.77083333,466,466,134,10,5
"467",-79.65625,39.77083333,467,467,134,10,5
"468",-79.59375,39.8125,468,468,135,10,5
"469",-79.53125,39.72916667,469,469,136,10,5
"470",-79.59375,39.72916667,470,470,136,10,5
"471",-79.65625,39.72916667,471,471,137,10,5
"472",-79.71875,39.72916667,472,472,137,10,5
"473",-79.71875,39.8125,473,473,134,10,5
"474",-79.53125,39.8125,474,474,135,10,5
"475",-79.59375,39.77083333,475,475,135,10,5
"476",-79.53125,39.77083333,476,476,135,10,5
"477",-79.59375,39.9375,477,477,138,10,5
"478",-79.53125,39.9375,478,478,138,10,5
"479",-79.65625,39.8125,479,479,134,10,5
"480",-79.84375,39.72916667,480,480,139,10,5
"481",-79.96875,39.8125,481,481,140,10,5
"482",-79.78125,39.72916667,482,482,139,10,5
"483",-79.96875,39.72916667,483,483,141,10,5
"484",-79.90625,39.72916667,484,484,141,10,5
"485",-79.84375,39.8125,485,485,142,10,5
"486",-79.84375,39.77083333,486,486,142,10,5
"487",-79.78125,39.77083333,487,487,142,10,5
"488",-79.78125,39.8125,488,488,142,10,5
"489",-79.90625,39.8125,489,489,140,10,5
"490",-79.90625,39.77083333,490,490,140,10,5
"491",-79.96875,39.77083333,491,491,140,10,5
"492",-79.65625,39.85416667,492,492,143,10,5
"493",-79.78125,39.9375,493,493,144,10,5
"494",-79.78125,39.97916667,494,494,144,10,5
"495",-79.84375,39.9375,495,495,144,10,5
"496",-79.84375,39.97916667,496,496,144,10,5
"497",-79.90625,39.9375,497,497,145,10,5
"498",-79.90625,39.97916667,498,498,145,10,5
"499",-79.96875,39.97916667,499,499,145,10,5
"500",-79.96875,39.9375,500,500,145,10,5
"501",-79.84375,39.85416667,501,501,146,10,5
"502",-79.84375,39.89583333,502,502,146,10,5
"503",-79.78125,39.89583333,503,503,146,10,5
"504",-79.78125,39.85416667,504,504,146,10,5
"505",-79.90625,39.85416667,505,505,147,10,5
"506",-79.96875,39.85416667,506,506,147,10,5
"507",-79.96875,39.89583333,507,507,147,10,5
"508",-79.90625,39.89583333,508,508,147,10,5
"509",-79.53125,39.97916667,509,509,138,10,5
"510",-79.65625,39.9375,510,510,148,10,5
"511",-79.59375,39.85416667,511,511,149,10,5
"512",-79.53125,39.85416667,512,512,149,10,5
"513",-79.53125,39.89583333,513,513,149,10,5
"514",-79.59375,39.89583333,514,514,149,10,5
"515",-79.71875,39.85416667,515,515,143,10,5
"516",-79.71875,39.89583333,516,516,143,10,5
"517",-79.65625,39.89583333,517,517,143,10,5
"518",-79.65625,39.97916667,518,518,148,10,5
"519",-79.59375,39.97916667,519,519,138,10,5
"520",-79.71875,39.9375,520,520,148,10,5
"521",-79.71875,39.97916667,521,521,148,10,5
"522",-80.40625,39.72916667,522,522,150,11,6
"523",-80.46875,39.72916667,523,523,150,11,6
"524",-80.40625,39.8125,524,524,151,11,6
"525",-80.46875,39.77083333,525,525,151,11,6
"526",-80.34375,39.8125,526,526,152,11,6
"527",-80.40625,39.77083333,527,527,151,11,6
"528",-80.46875,39.8125,528,528,151,11,6
"529",-80.03125,39.89583333,529,529,153,11,6
"530",-80.21875,39.89583333,530,530,154,11,6
"531",-80.21875,39.85416667,531,531,154,11,6
"532",-80.03125,39.72916667,532,532,155,11,6
"533",-80.15625,39.72916667,533,533,156,11,6
"534",-80.03125,39.8125,534,534,157,11,6
"535",-80.03125,39.77083333,535,535,157,11,6
"536",-80.09375,39.77083333,536,536,157,11,6
"537",-80.15625,39.8125,537,537,158,11,6
"538",-80.21875,39.8125,538,538,158,11,6
"539",-80.15625,39.77083333,539,539,158,11,6
"540",-80.21875,39.77083333,540,540,158,11,6
"541",-80.21875,39.72916667,541,541,156,11,6
"542",-80.09375,39.8125,542,542,157,11,6
"543",-80.09375,39.72916667,543,543,155,11,6
"544",-80.34375,39.77083333,544,544,152,11,6
"545",-80.28125,39.77083333,545,545,152,11,6
"546",-80.28125,39.8125,546,546,152,11,6
"547",-80.28125,39.72916667,547,547,159,11,6
"548",-80.34375,39.72916667,548,548,159,11,6
"549",-80.03125,39.9375,549,549,160,11,6
"550",-80.09375,39.9375,550,550,160,11,6
"551",-80.09375,39.97916667,551,551,160,11,6
